character,dialogue
BODINE (V.O.),porcelain head of a doll.
BODINE (V.O.),Snoop enters a corridor which is much better preserved. Here and there a
BODINE (V.O.),"door still hangs on its rusted hinges. An ornate piece of molding, a wall"
BODINE (V.O.),sconce... hint at the grandeur of the past.
BODINE (V.O.),"13 THE ROV turns and goes through a black doorway, entering room B-52, the"
BODINE (V.O.),"sitting room of a ""promenade suite"", one of the most luxurious staterooms"
BODINE (V.O.),on Titanic.
BODINE,I'm in the sitting room. Heading for bedroom B-54.
LOVETT,Stay off the floor. Don't stir it up like you did yesterday.
BODINE,I'm tryin' boss.
BODINE,Glinting in the lights are the brass fixtures of the near-perfectly
BODINE,preserved fireplace. An albino Galathea crab crawls over it. Nearby are the
BODINE,remains of a divan and a writing desk. The Dog crosses the ruins of the
BODINE,"once elegant room toward another DOOR. It squeezes through the doorframe,"
BODINE,scraping rust and wood chunks loose on both sides. It moves out of a cloud
BODINE,of rust and keeps on going.
BODINE,I'm crossing the bedroom.
BODINE,"The remains of a pillared canopy bed. Broken chairs, a dresser. Through the"
BODINE,"collapsed wall of the bathroom, the porcelain commode and bathtub took"
BODINE,"almost new, gleaming in the dark."
LOVETT,"Okay, I want to see what's under that wardrobe door."
LOVETT,SEVERAL ANGLES as the ROV deploys its MANIPULATOR ARMS and starts moving
LOVETT,"debris aside. A lamp is lifted, its ceramic colors as bright as they were"
LOVETT,in 1912.
LOVETT,"Easy, Lewis. Take it slow."
LOVETT,"Lewis grips a wardrobe door, lying at an angle in a corner, and pulls it"
LOVETT,with Snoop's gripper. It moves reluctantly in a cloud of silt. Under it is
LOVETT,a dark object. The silt clears and Snoop's cameras show them what was under
LOVETT,the door...
BODINE,"Ooohh daddy-oh, are you seein' what I'm seein'?"
BODINE,"CLOSE ON LOVETT, watching his moniteors. By his expression it is like he is"
BODINE,seeing the Holy Grail.
LOVETT,Oh baby baby baby.
LOVETT,"It's payday, boys."
LOVETT,"ON THE SCREEN, in the glare of the lights, is the object of their quest: a"
LOVETT,small STEEL COMBINATION SAFE.
LOVETT,"THE SAFE, dripping wet in the afternoon sun, is lowered onto the deck of a"
LOVETT,ship by a winch cable.
LOVETT,We are on the Russian research vessel AKADEMIK MISTISLAV KELDYSH. A crowd
LOVETT,"has gathered, including most of the crew of KELDYSH, the sub crews, and a"
LOVETT,hand-wringing money guy named BOBBY BUELL who represents the limited
LOVETT,"partners. There is also a documentary video crew, hired by Lovett to cover"
LOVETT,his moment of glory.
LOVETT,Everyone crowds around the safe. In the background Mir Two is being lowered
LOVETT,into its cradle on deck by a massive hydraulic arm. Mir One is already
LOVETT,recovered with Lewis Bodine following Brock Lovett as he bounds over to the
LOVETT,safe like a kid on Christman morning.
BODINE,Who's the best? Say it.
LOVETT,"You are, Lewis."
LOVETT,You rolling?
CAMERAMAN,Rolling.
CAMERAMAN,"Brock nods to his technicians, and they set about drilling the safe's"
CAMERAMAN,"hinges. During this operation, Brock amps the suspense, working the lens to"
CAMERAMAN,fill the time.
LOVETT,"Well, here it is, the moment of truth. Here's where we find out if the"
LOVETT,"time, the sweat, the money spent to charter this ship and these subs, to"
LOVETT,come out here to the middle of the North Atlantic... were worth it. If what
LOVETT,we think is in that same... is in that safe... it will be.
LOVETT,Lovett grins wolfishly in anticipation of his greatest find yet. The door
LOVETT,"is pried loose. It clangs onto the deck. Lovett moves closer, peering into"
LOVETT,the safe's wet interior. A long moment then... his face says it all.
BODINE,"You know, boss, this happened to Geraldo and his career never recovered."
LOVETT,Get that outta my face.
LOVETT,Technicians are carefully removing some papers from the safe and placing
LOVETT,"them in a tray of water to separate them safely. Nearby, other artifacts"
LOVETT,from the stateroom are being washed and preserved.
LOVETT,Buell is on the satellite phone with the INVESTORS. Lovett is yelling at
LOVETT,the video crew.
LOVETT,"You send out what I tell you when I tell you. I'm signing your paychecks,"
LOVETT,not 60 minutes. Now get set up for the uplink.
LOVETT,Buell covers the phone and turns to Lovett.
BUELL,The partners want to know how it's going?
LOVETT,"How it's going? It's going like a first date in prison, whattaya think?!"
LOVETT,Lovett grabs the phone from Buell and goes instantly smooth.
LOVETT,"Hi, Dave? Barry? Look, it wasn't in the safe... no, look, don't worry about"
LOVETT,"it, there're still plenty of places it could be... in the floor debris in"
LOVETT,"the suite, in the mother's room, in the purser's safe on C deck..."
LOVETT,Hang on a second.
LOVETT,A tech coaxes some letters in the water tray to one side with a tong...
LOVETT,revealing a pencil (conte crayon) drawing of a woman.
LOVETT,"Brock looks closely at the drawing, which is in excellent shape, though its"
LOVETT,"edges have partially disintegrated. The woman is beautiful, and beautifully"
LOVETT,"rendered. In her late teens or early twenties, she is nude, though posed"
LOVETT,"with a kind of casual modesty. She is on an Empire divan, in a pool of"
LOVETT,light that seems to radiate outward from her eyes. Scrawled in the lower
LOVETT,right corner is the date: April 14 1912. And the initials JD.
LOVETT,The girl is not entirely nude. At her throat is a diamond necklace with one
LOVETT,large stone hanging in the center.
LOVETT,Lovett grabs a reference photo from the clutter on the lab table. It is a
LOVETT,period black-and-white photo of a diamond necklace on a black velvet
LOVETT,jeller's display stand. He holds it next to the drawing. It is clearly the
LOVETT,same piece... a complex setting with a massive central stone which is
LOVETT,almost heart-shaped.
LOVETT,I'll be God damned.
LOVETT,"A CNN NEWS STORY: a live satellite feed from the deck of the Keldysh,"
LOVETT,intercut with the CNN studio.
ANNOUNCER,Treasure hunter Brock Lovett is best known for finding Spanish gold in
ANNOUNCER,sunken galleons in the Caribbean. Now he is using deep submergence
ANNOUNCER,technology to work two and a half miles down at another famous wreck... the
ANNOUNCER,Titanic. He is with us live via satellite from a Russian research ship in
ANNOUNCER,the middle of the Atlantic... hello Brock?
LOVETT,"Yes, hi, Tracy. You know, Titanic is not just A shipwrick, Titanic is THE"
LOVETT,shipwreck. It's the Mount Everest of shipwrecks.
LOVETT,"PULL BACK from the screen, showing the CNN report playing on a TV set in"
LOVETT,"the living room of a small rustic house. It is full of ceramics, figurines,"
LOVETT,"folk art, the walls crammed with drawings and paintings... things collected"
LOVETT,over a lifetime.
LOVETT,PANNING to show a glassed-in studio attached to the house. Outside it is a
LOVETT,"quiet morning in Ojai, California. In the studio, amid incredible clutter,"
LOVETT,an ANCIENT WOMAN is throwing a pot on a potter's wheel. The liquid red clay
LOVETT,"covers her hands... hands that are gnarled and age-spotted, but still"
LOVETT,surprisingly strong and supple. A woman in her early forties assists her.
LOVETT (V.O.),"I've planned this expedition for three years, and we're out here recovering"
LOVETT (V.O.),some amazing things... things that will have enormous historical and
LOVETT (V.O.),educational value.
CNN REPORTER (V.O.),But it's no secret that education is not your main purpose. You're a
CNN REPORTER (V.O.),treasure hunter. So what is the treasure you're hunting?
LOVETT (V.O.),"I'd rather show you than tell you, and we think we're very close to doing"
LOVETT (V.O.),just that.
LOVETT (V.O.),"The old woman's name is ROSE CALVERT. Her face is a wrinkled mass, her body"
LOVETT (V.O.),shapeless and shrunken under a one-piece African-print dress.
LOVETT (V.O.),But her eyes are just as bright and alive as those of a young girl.
LOVETT (V.O.),"Rose gets up and walks into the living room, wiping pottery clay from her"
LOVETT (V.O.),hands with a rag. A Pomeranian dog gets up and comes in with her.
LOVETT (V.O.),"The younger soman, LIZZY CALVERT, rushes to help her."
ROSE,"Turn that up please, dear."
REPORTER (V.O.),Your expedition is at the center of a storm of controversy over salvage
REPORTER (V.O.),rights and even ethics. Many are calling you a grave robber.
LOVETT,Nobody called the recovery of the artifacts from King Tut's tomb grave
LOVETT,"robbing. I have museum-trained experts here, making sure this stuff is"
LOVETT,"preserved and catalogued properly. Look at this drawing, which was found"
LOVETT,today...
LOVETT,"The video camera pans off Brock to the drawing, in a tray of water. The"
LOVETT,image of the woman with the necklace FILLS FRAME.
LOVETT,...a piece of paper that's been underwater for 84 years... and my team are
LOVETT,able to preserve it intanct. Should this have remained unseen at the bottom
LOVETT,"of the ocean for eternity, when we can see it and enjoy it now...?"
LOVETT,ROSE is galvanized by this image. Her mouth hangs open in amazement.
ROSE,I'll be God damned.
ROSE,"water, and Lovett is getting ready to climb into Mir One when Bobby Buell"
ROSE,runs up to him.
BUELL,There's a satellite call for you.
LOVETT,"Bobby, we're launching. See these submersibles here, going in the water?"
LOVETT,Take a message.
BUELL,"No, trust me, you want to take this call."
BUELL,"Beull hands Lovett the phone, pushing down the blinking line. The call is"
BUELL,from Rose and we see both ends of the conversation. She is in her kitchen
BUELL,with a mystified Lizzy.
LOVETT,"This is Brock Lovett. What can I do for you, Mrs... ?"
BUELL,Rose Calvert.
LOVETT,... Mrs. Calvert?
ROSE,"I was just wondering if you had found the ""Heart of the Ocean"" yet, Mr."
ROSE,Lovett.
ROSE,Brock almost drops the phone. Bobby sees his shocked expression...
BUELL,I told you you wanted to take this call.
LOVETT,"Alright. You have my attention, Rose. Can you tell me who the woman in the"
LOVETT,picture is?
ROSE,Oh yes. The woman in the picture is me.
ROSE,ocean. PAN 180 degrees as it roars past. There is no land at either
ROSE,horizon. The Keldysh is visible in the distance.
ROSE,"CLOSE ON A WINDOW of the monster helicopter. Rose's face is visible,"
ROSE,looking out calmly.
ROSE,Brock and Bodine are watching Mir 2 being sweng over the side to start a
BODINE,She's a goddamned liar! A nutcase. Like that... what's her name? That
BODINE,Anastasia babe.
BUELL,They're inbound.
BUELL,Brock nods and the three of them head forward to meet the approaching helo.
BODINE,"She says she's Rose DeWitt Bukater, right? Rose DeWitt Bukater died on the"
BODINE,"Titanic. At the age of 17. If she'd've lived, she'd be over a hundred now."
LOVETT,A hundred and one next month.
BODINE,"Okay, so she's a very old goddamned liar. I traced her as far back as the"
BODINE,20's... she was working as an actress in L.A. An actress. Her name was Rose
BODINE,"Dawson. Then she married a guy named Calvert, moved to Cedar Rapids, had"
BODINE,"two kids. Now Calvert's dead, and from what I've heard Cedar Rapids is"
BODINE,"The Sea Stallion approaches the ship, BG, forcing Brock to yell over the"
BODINE,rotors.
LOVETT,And everyobody who knows about the diamond is supposed to be dead... or on
LOVETT,this ship. But she knows about it. And I want to hear what she has to say.
LOVETT,Got it?
LOVETT,IN A THUNDERING DOWNBLAST the helicopter's wheels bounce down on the
LOVETT,helipad.
LOVETT,"Lovett, Buell and Bodine watch as the HELICOPTER CREW CHIEF hands out about"
LOVETT,"ten suitcases, and then Rose is lowered to the deck in a wheelchair by"
LOVETT,"Keldysh crewmen. Lizzy, ducking unnecessarily under the rotor, follows her"
LOVETT,"out, carrying FREDDY the Pomeranian. The crew chief hands a puzzled Keldysh"
LOVETT,crewmember a goldfish bowl with several fish in it. Rose does not travel
LOVETT,light.
LOVETT,"HOLD ON the incongruous image of this little old lady, looking impossibly"
LOVETT,"fragile amongst all the high tech gear, grungy deck crew and gigantic"
LOVETT,equipment.
BODINE,"S'cuse me, I have to go check our supply of Depends."
BODINE,Lizzy is unpacking Rose's things in the small utilitarian room. Rose is
BODINE,"placing a number of FRAMED PHOTOS on the bureau, arranging them carefully"
BODINE,next to the fishbowl. Brock and Bodine are in the doorway.
LOVETT,Is your stateroom alright?
ROSE,"Yes. Very nice. Have you met my granddaughter, Lizzy? She takes care of me."
LIZZY,"Yes. We met just a few minutes ago, grandma. Remember, up on deck?"
ROSE,"Oh, yes."
ROSE,Brock glances at Bodine... oh oh. Bodine rolls his eyes. Rose finishes
ROSE,arranging her photographs. We get a general glimpse of them: the usual
ROSE,"snapshots... children and grandchildren, her late husband."
ROSE,"There, that's nice. I have to have my pictures when I travel. And Freddy of"
ROSE,course.
ROSE,"Isn't that right, sweetie."
LOVETT,Would you like anything?
ROSE,I should like to see my drawing.
ROSE,"Rose looks at the drawing in its tray of water, confronting herself across"
ROSE,"a span of 84 years. Until they can figure out the best way to preserve it,"
ROSE,"they have to keep it immersed. It sways and ripples, almost as if alive."
ROSE,"TIGHT ON Rose's ancient eyes, gazing at the drawing."
ROSE,"25 FLASHCUT of a man's hand, holding a conte crayon deftly creating a"
ROSE,shoulder and the shape of her hair with two efficient lines.
ROSE,"26 THE WOMAN'S FACE IN THE DRAWING, dancing under the water."
ROSE,"27 A FLASHCUT of a man's eyes, just visible over the top of a sketching"
ROSE,"pad. They look up suddenly right into the LENS. Soft eyes, but fearlessly"
ROSE,direct.
ROSE,"28 Rose smiles, remembering. Brock has the reference photo of the necklace"
ROSE,in his hand.
LOVETT,"Louis the Sixteenth wore a fabulous stone, called the Blue Diamond of the"
LOVETT,"Crown, which disappeared in 1792, about the time Louis lost everything from"
LOVETT,the neck up. The theory goes that the crown diamond was chopped too...
LOVETT,recut into a heart-like shape... and it became Le Coeur de la Mer. The
LOVETT,Heart of the Ocean. Today it would be worth more than the Hope Diamond.
ROSE,"It was a dreadful, heavy thing."
ROSE,I only wore it this once.
LIZZY,"You actually believe this is you, grandma?"
ROSE,"It is me, dear. Wasn't I a hot number?"
LOVETT,I tracked it down through insurance records... and old claim that was
LOVETT,"settled under terms of absolute secrecy. Do you know who the claiment was,"
ROSE,"Someone named Hockley, I should imagine."
LOVETT,"Nathan Hockley, right. Pittsburgh steel tycoon. For a diamond necklace his"
LOVETT,son Caledon Hockley bought in France for his fiancee... you... a week
LOVETT,before he sailed on Titanic. And the claim was filed right after the
LOVETT,sinking. So the diamond had to've gone down with the ship.
LOVETT,See the date?
LIZZY,"April 14, 1912."
LOVETT,"If your grandma is who she says she is, she was wearing the diamond the day"
LOVETT,Titanic sank.
LOVETT (CONT'D),And that makes you my new best friend. I will happily compensate you for
LOVETT (CONT'D),anything you can tell us that will lead to its recovery.
ROSE,"I don't want your money, Mr. Lovett. I know how hard it is for people who"
ROSE,care greatly for money to give some away.
BODINE,You don't want anything?
ROSE,"You may give me this, if anything I tell you is of value."
LOVETT,Over here are a few things we've recovered from your staterooms.
LOVETT,"Laid out on a worktable are fifty or so objects, from mundane to valuable."
LOVETT,"Rose, shrunken in her chair, can barely see over the table top. With a"
LOVETT,"trembling hand she lifts a tortoise shell hand mirror, inlaid with mother"
LOVETT,of pearl. She caresses it wonderingly.
ROSE,This was mine. How extraordinary! It looks the same as the last time I saw
ROSE,She turns the mirror over and looks at her ancient face in the cracked
ROSE,glass.
ROSE,The reflection has changed a bit.
ROSE,"She spies something else, a silver and moonstone art-nouveau brooch."
ROSE,My mother's brooch. She wanted to go back for it. Caused quite a fuss.
ROSE,Rose picks up an ornate art-nouveau HAIR COMB. A jade butterfly takes
ROSE,"flight on the ebony handle of the comb. She turns it slowly, remembering."
ROSE,We can see that Rose is experiencing a rush of images and emotions that
ROSE,have lain dormant for eight decades as she handles the butterfly comb.
LOVETT,Are you ready to go back to Titanic?
LOVETT,It is a darkened room lined with TV monitors. IMAGES OF THE WRECK fill the
LOVETT,"screens, fed from Mir One and Two, and the two ROVs, Snoop Dog and DUNCAN."
BODINE,"Live from 12,000 feet."
BODINE,"ROSE stares raptly at the screens. She is enthraled by one in particular,"
BODINE,an image of the bow railing. It obviously means something to her. Brock is
BODINE,studying her reactions carefully.
BODINE,"The bow's struck in the bottom like an axe, from the impact. Here... I can"
BODINE,run a simulation we worked up on this monitor over here.
BODINE,Lizzy turns the chair so Rose can see the screen of Bodine's computer. As
BODINE,"he is calling up the file, he keeps talking."
BODINE,"We've put together the world's largest database on the Titanic. Okay,"
BODINE,here...
LOVETT,"Rose might not want to see this, Lewis."
ROSE,"No, no. It's fine. I'm curious."
ROSE,"Bodine starts a COMPUTER ANIMATED GRAPHIC on the screen, which parallels"
ROSE,his rapid-fire narration.
BODINE,She hits the berg on the starboard side and it sort of bumps along...
BODINE,"punching holes like a morse code... dit dit dit, down the side. Now she's"
BODINE,flooding in the
BODINE,BODINE (cont'd)
BODINE,forward compartments... and the water spills over the tops of the
BODINE,"bulkheads, going aft. As her bow is going down, her stern is coming up..."
BODINE,slow at first... and then faster and faster until it's lifting all that
BODINE,"weight, maybe 20 or 30 thousand tons... out of the water and the hull can't"
BODINE,deal... so SKRTTT!!
BODINE,"... it splits! Right down to the keel, which acts like a big hinge. Now the"
BODINE,bow swings down and the stern falls back level... but the weight of the bow
BODINE,"pulls the stern up vertical, and then the bow section detaches, heading for"
BODINE,"the bottom. The stern bobs like a cork, floods and goes under about 2:20"
BODINE,a.m. Two hours and forty minutes after the collision.
BODINE,The animation then follows the bow section as it sinks. Rose watches this
BODINE,clinical dissection of the disaster without emotion.
BODINE,"The bow pulls out of its dive and planes away, almost a half a mile, before"
BODINE,it hits the bottom going maybe 12 miles an hour. KABOOM!
BODINE,"The bow impacts, digging deeply into the bottom, the animation now follows"
BODINE,the stern.
BODINE,"The stern implodes as it sinks, from the pressure, and rips apart from the"
BODINE,"force of the current as it falls, landing like a big pile of junk."
BODINE,Cool huh?
ROSE,"Thank you for that fine forensic analysis, Mr. Bodine. Of course the"
ROSE,experience of it was somewhat less clinical.
LOVETT,Will you share it with us?
LOVETT,"Her eyes go back to the screens, showing the sad ruins far below them."
LOVETT,A VIEW from one of the subs TRACKING SLOWLY over the boat deck. Rose
LOVETT,"recognizes one of the Wellin davits, still in place. She hears ghostly"
LOVETT,"waltz music. The faint and echoing sound of an officer's voice, English"
LOVETT,"accented, calling ""Women and children only""."
LOVETT,30 FLASH CUTS of screaming faces in a running crowd. Pandemonium and
LOVETT,"terror. People crying, praying, kneeling on the deck. Just impressions..."
LOVETT,flashes in the dark.
LOVETT,"31 Rose Looks at another monitor. SNOOP DOG moving down a rusted,"
LOVETT,debris-filled corridor. Rose watches the endless row of doorways sliding
LOVETT,"past, like dark mouths."
LOVETT,"32 IMAGE OF A CHILD, three years old, standing ankle deep in water in the"
LOVETT,"middle of an endless corridor. The child is lost alone, crying."
LOVETT,33 Rose is shaken by the flood of memories and emotions. Her eyes well up
LOVETT,"and she puts her head down, sobbing quietly."
LIZZY,I'm taking her to rest.
ROSE,"Her voice is surprisingly strong. The sweet little old lady is gone,"
ROSE,replaced by a woman with eyes of steel. Lovett signals everyone to stay
ROSE,quiet.
LOVETT,"Tell us, Rose."
LOVETT,"She looks from screen to screen, the images of the ruined ship."
ROSE,It's been 84 years...
LOVETT,Just tell us what you can--
ROSE,never been used. The sheets had never been slept in.
ROSE,He switches on the minirecorder and sets it near her.
ROSE,Titanic was called the Ship of Dreams. And it was. It really was...
ROSE,"As the underwater camera rises past the rusted bow rail, WE DISSOLVE /"
ROSE,MATCH MOVE to that same railing in 1912...
MATCH DISSOLVE:,SHOT CONTINUES IN A FLORIOUS REVEAL as the gleaming white superstructure of
MATCH DISSOLVE:,"Titanic rises mountainously beyond the rail, and above that the"
MATCH DISSOLVE:,buff-colored funnels stand against the sky like the pillars of a great
MATCH DISSOLVE:,"temple. Crewmen move across the deck, dwarfed by the awesome scale of the"
MATCH DISSOLVE:,steamer.
MATCH DISSOLVE:,"Southanmpton, England, April 10, 1912. It is almost nnon on ailing day. A"
MATCH DISSOLVE:,crowd of hundreds blackens the pier next to Titanic like ants on a jelly
MATCH DISSOLVE:,sandwich.
MATCH DISSOLVE:,"IN FG a gorgeous burgundy RENAULT TOURING CAR swings into frame, hanging"
MATCH DISSOLVE:,from a loading crane. It is lowered toward HATCH #2.
MATCH DISSOLVE:,"On the pier horsedrawn vehicles, motorcars and lorries move slowly through"
MATCH DISSOLVE:,the dense throng. The atmosphere is one of excitement and general
MATCH DISSOLVE:,"giddiness. People embrace in tearful farewells, or wave and shout bon"
MATCH DISSOLVE:,voyage wishes to friends and relatives on the decks above.
MATCH DISSOLVE:,"A white RENAULT, leading a silver-gray DAIMLER-BENZ, pushes through the"
MATCH DISSOLVE:,crowd leaving a wake in the press of people. Around the handsome cars
MATCH DISSOLVE:,"people are streaming to board the ship, jostling with hustling seamen and"
MATCH DISSOLVE:,"stokers, porters, and barking WHITE STAR LINE officials."
MATCH DISSOLVE:,The Renault stops and the LIVERIED DRIVER scurries to open the door for a
MATCH DISSOLVE:,"YOUNG WOMAN dressed in a stunning white and purple outfit, with an enormous"
MATCH DISSOLVE:,"feathered hat. She is 17 years old and beautiful, regal of bearing, with"
MATCH DISSOLVE:,piercing eyes.
MATCH DISSOLVE:,"It is the girl in the drawing. ROSE. She looks up at the ship, taking it in"
MATCH DISSOLVE:,with cool appraisal.
ROSE,I don't see what all the fuss is about. It doesn't look any bigger than the
ROSE,Mauretania.
ROSE,A PERSONAL VALET opens the door on the other side of the car for CALEDON
ROSE,"HOCKLEY, the 30 year old heir to the elder Hockley's fortune. ""Cal"" is"
ROSE,"handsome, arrogant and rich beyond meaning."
CAL,"You can be blase about some things, Rose, but not about Titanic. It's over"
CAL,"a hundred feet longer than Mauretania, and far more luxurious. It has"
CAL,"squash courts, a Parisian cafe... even Turkish baths."
CAL,"Cal turns and fives his hand to Rose's mother, RUTH DEWITT BUKATER, who"
CAL,"descends from the touring car being him. Ruth is a 40ish society empress,"
CAL,"from one of the most prominent Philadelphia families. She is a widow, and"
CAL,rules her household with iron will.
CAL,"Your daughter is much too hard to impress, Ruth."
CAL,Mind your step.
RUTH,So this is the ship they say is unsinkable.
CAL,It is unsinkable. God himself couldn't sink this ship.
CAL,Cal speaks with the pride of a host providing a special experience.
CAL,"This entire entourage of rich Americans is impeccably turned out, a"
CAL,"quintessential example of the Edwardian upper class, complete with"
CAL,"servants. Cal's VALET, SPICER LOVEJOY, is a tall and impassive, dour as an"
CAL,"undertaker. Behind him emerge TWO MAIDS, personal servants to Ruth and"
CAL,"A WHITE STAR LINE PORTER scurries toward them, harried by last minute"
CAL,loading.
PORTER,"Sir, you'll have to check your baggage through the main terminal, round"
PORTER,that way--
PORTER,Cal nonchalantly hands the man a fiver. The porter's eyes dilate. Five
PORTER,pounds was a monster tip in those days.
CAL,"I put my faith in you, good sir."
CAL (CONT'D),See my man.
PORTER,"Yes, sir. My pleasure, sir."
PORTER,Cal never tires of the effect of money on the unwashed masses.
LOVEJOY,"These trunks here, and 12 more in the Daimler. We'll have all this lot up"
LOVEJOY,in the rooms.
LOVEJOY,The White Star man looks stricken when he sees the enormous pile of steamer
LOVEJOY,"trunks and suitcases loading down the second car, including wooden crates"
LOVEJOY,and steel safe. He whistles frantically for some cargo-handlers nearby who
LOVEJOY,come running.
LOVEJOY,"Cal breezes on, leaving the minions to scramble. He quickly checks his"
LOVEJOY,pocket watch.
CAL,"We'd better hurry. This way, ladies."
CAL,He indicates the way toward the first class gangway. They move into the
CAL,"crowd. TRUDY BOLT, Rose's maid, hustles behind them, laden with bags of her"
CAL,mistress's most recent purchases... things too delicate for the baggage
CAL,handlers.
CAL,"Cal leads, weaving between vehicles and handcarts, hurrying passengers"
CAL,class passengers are avoiding the smelly press of the dockside crowd by
CAL,"using an elevated boarding bridge, twenty feet above."
CAL,"They pass a line of steerage passengers in their coarse wool and tweeds,"
CAL,queued up inside movable barriers like cattle in a chute. A HEALTH OFFICER
CAL,"examines their heads one by one, checking scalp and eyelashes for lice."
CAL,They pass a well-dressed young man cranking the handle of a wooden Biograph
CAL,"""cinematograph"" camera mounted on a tripod. NANIEL MARVIN (whose father"
CAL,founded the Biograph Film Studio) is filming his young bride in front of
CAL,"the Titanic. MARY MARVIN stands stiffly and smiles, self conscious."
DANIEL,"Look up at the ship, darling, that's it. You're amazed! You can't believe"
DANIEL,how big it is! Like a mountain. That's great.
DANIEL,"Mary Marvin, without an acting fiber in her body, does a bad Clara Bow"
DANIEL,"pantomime of awe, hands raised."
DANIEL,Cal is jostled by two yelling steerage boys who shove past him. And he is
DANIEL,bumped again a second later by the boys' father.
CAL,Steady!!
MAN,Sorry squire!
MAN,"The Cockney father pushes on, after his kids, shouting."
CAL,Steerage swine. Apparently missed his annual bath.
RUTH,"Honestly, Cal, if you weren't forever booking everything at the last"
